EmployeeNumber,set,Attrition,Department,JobRole,OverTime,MonthlyIncome,Age,YearsAtCompany,JobSatisfaction,risk_score,risk_decile,top_shap_driver
53,train,No,Research & Development,Laboratory Technician,No,1951,35,1,4,0.4356,7,OverTime
54,train,No,Research & Development,Laboratory Technician,No,2341,27,1,1,0.5079,8,MonthlyIncome
55,train,Yes,Research & Development,Laboratory Technician,No,2293,26,1,3,0.6641,10,MonthlyIncome
56,test,No,Sales,Sales Executive,No,8726,27,9,3,0.477,8,StockOptionLevel
57,train,No,Research & Development,Laboratory Technician,No,4011,30,12,4,0.4226,7,StockOptionLevel
58,train,Yes,Research & Development,Research Director,No,19545,41,22,3,0.3977,6,Age
60,train,No,Sales,Sales Executive,No,4568,34,9,3,0.3867,5,OverTime
61,train,No,Research & Development,Research Scientist,No,3022,37,1,2,0.4081,6,OverTime
62,train,No,Sales,Sales Executive,Yes,5772,46,9,4,0.5356,9,StockOptionLevel
63,train,No,Research & Development,Laboratory Technician,No,2269,35,1,4,0.3631,4,Age
64,train,Yes,Research & Development,Laboratory Technician,Yes,5381,48,1,3,0.4596,7,Age
65,test,Yes,Research & Development,Laboratory Technician,Yes,3441,28,2,3,0.6081,10,JobLevel
68,train,No,Sales,Sales Executive,Yes,5454,44,4,1,0.4669,8,OverTime
70,train,No,Research & Development,Healthcare Representative,Yes,9884,35,4,1,0.4107,6,OverTime
72,train,No,Sales,Sales Executive,Yes,4157,26,2,4,0.5227,9,StockOptionLevel
73,train,No,Research & Development,Research Director,Yes,13458,33,15,4,0.4529,7,StockOptionLevel
74,test,No,Sales,Sales Executive,No,9069,35,9,1,0.3822,5,OverTime
75,test,No,Research & Development,Laboratory Technician,Yes,4014,35,2,1,0.4712,8,OverTime
76,train,No,Research & Development,Laboratory Technician,No,5915,31,7,4,0.292,1,StockOptionLevel
77,test,No,Research & Development,Manufacturing Director,No,5993,37,7,3,0.314,1,StockOptionLevel
78,test,No,Research & Development,Manufacturing Director,Yes,6162,32,9,4,0.3563,3,MonthlyIncome
79,train,No,Research & Development,Laboratory Technician,No,2406,38,10,4,0.3701,4,Age
80,test,No,Research & Development,Research Director,Yes,18740,50,27,3,0.4659,8,MonthlyIncome
81,train,No,Sales,Sales Executive,No,7637,59,21,1,0.4269,7,OverTime
83,test,No,Research & Development,Healthcare Representative,No,10096,36,17,3,0.3397,2,OverTime
84,train,No,Research & Development,Manager,Yes,14756,55,5,3,0.3469,3,MonthlyIncome
85,train,No,Research & Development,Manufacturing Director,No,6499,36,6,2,0.41,6,Age
86,test,No,Research & Development,Research Scientist,No,9724,45,1,1,0.3385,2,Age
88,train,No,Research & Development,Research Scientist,No,2194,35,3,1,0.3728,4,OverTime
90,train,Yes,Research & Development,Research Scientist,Yes,3388,36,1,3,0.6047,10,OverTime
91,train,No,Sales,Sales Executive,No,5473,59,4,3,0.4767,8,Age
94,train,No,Research & Development,Research Scientist,No,2703,29,5,2,0.346,3,OverTime
95,train,No,Research & Development,Research Scientist,No,2501,31,1,2,0.599,10,Age
96,train,No,Research & Development,Research Scientist,No,6220,32,10,2,0.3003,1,StockOptionLevel
97,train,No,Research & Development,Laboratory Technician,No,3038,36,1,4,0.3927,5,Age
98,train,No,Research & Development,Manufacturing Director,No,4424,31,11,4,0.4039,6,StockOptionLevel
100,train,No,Sales,Sales Executive,No,4312,35,15,1,0.3926,5,Age
101,test,No,Research & Development,Research Director,Yes,13245,45,0,1,0.418,6,Age
102,train,No,Research & Development,Research Director,No,13664,37,5,3,0.3583,3,Age
103,test,No,Human Resources,Human Resources,Yes,5021,46,4,2,0.4724,8,OverTime
104,train,No,Research & Development,Laboratory Technician,Yes,5126,30,10,4,0.3806,5,MonthlyIncome
105,train,No,Research & Development,Research Scientist,No,2859,35,6,3,0.3825,5,Age
106,train,No,Sales,Sales Executive,No,10239,55,1,4,0.3725,4,Age
107,train,No,Research & Development,Research Scientist,Yes,5329,38,13,4,0.3936,5,OverTime
110,train,No,Research & Development,Manufacturing Director,No,4325,34,5,2,0.4022,6,Age
112,train,No,Research & Development,Manufacturing Director,No,7260,56,6,4,0.4205,6,Age
113,train,No,Sales,Sales Representative,No,2322,23,0,1,0.5207,9,MonthlyIncome
116,train,No,Research & Development,Laboratory Technician,No,2075,51,4,4,0.3583,3,OverTime
117,test,No,Research & Development,Healthcare Representative,No,4152,30,11,4,0.2991,1,StockOptionLevel
118,train,Yes,Sales,Sales Executive,No,9619,46,9,4,0.435,7,StockOptionLevel
119,train,No,Research & Development,Healthcare Representative,No,13503,40,22,2,0.3145,1,MonthlyIncome
120,train,No,Sales,Sales Executive,Yes,5441,51,10,4,0.5146,8,Age
121,train,No,Sales,Sales Executive,Yes,5209,30,11,2,0.3198,1,StockOptionLevel
124,train,No,Research & Development,Healthcare Representative,Yes,10673,46,10,1,0.3836,5,StockOptionLevel
125,train,No,Sales,Sales Executive,No,5010,32,11,3,0.4195,6,StockOptionLevel
126,train,No,Research & Development,Research Director,No,13549,54,4,3,0.3724,4,MonthlyIncome
128,train,No,Sales,Sales Executive,No,4999,24,3,3,0.3501,3,StockOptionLevel
129,train,No,Sales,Sales Executive,No,4221,28,5,3,0.4472,7,StockOptionLevel
131,train,No,Sales,Sales Executive,No,13872,58,37,3,0.41,6,OverTime
132,train,No,Research & Development,Laboratory Technician,No,2042,44,3,2,0.379,5,Age
133,train,Yes,Human Resources,Human Resources,Yes,2073,37,3,1,0.6144,10,OverTime
134,test,No,Research & Development,Research Scientist,No,2956,32,1,1,0.5597,9,Age
137,train,Yes,Research & Development,Laboratory Technician,Yes,2926,20,1,4,0.6912,10,JobLevel
138,train,No,Research & Development,Research Scientist,No,4809,34,16,3,0.3372,2,OverTime
139,train,No,Research & Development,Healthcare Representative,No,5163,37,1,4,0.3376,2,MonthlyIncome
140,test,No,Human Resources,Manager,No,18844,59,3,4,0.354,3,StockOptionLevel
141,train,No,Research & Development,Research Director,Yes,18172,50,8,2,0.4885,8,OverTime
142,train,Yes,Sales,Sales Executive,Yes,5744,25,6,3,0.5916,10,StockOptionLevel
143,train,No,Research & Development,Research Scientist,No,2889,25,2,4,0.3944,5,StockOptionLevel
144,train,No,Research & Development,Laboratory Technician,No,2871,22,0,4,0.5854,10,Age
145,test,No,Research & Development,Healthcare Representative,No,7484,51,13,1,0.4899,8,Age
147,train,Yes,Research & Development,Laboratory Technician,Yes,6074,34,9,3,0.527,9,OverTime
148,train,No,Human Resources,Manager,Yes,17328,54,5,4,0.3811,5,Age
150,train,No,Research & Development,Laboratory Technician,No,2774,24,5,3,0.3982,6,OverTime
151,test,No,Research & Development,Research Scientist,No,4505,34,1,2,0.3651,4,YearsWithCurrManager
152,train,No,Sales,Sales Executive,No,7428,37,5,4,0.3601,3,Age
153,train,No,Research & Development,Manager,No,11631,34,11,1,0.3699,4,Age
154,train,No,Sales,Sales Executive,No,9738,36,9,4,0.3685,4,OverTime
155,train,No,Research & Development,Laboratory Technician,No,2835,36,1,4,0.4951,8,Age
158,train,No,Sales,Manager,Yes,16959,43,25,4,0.4013,6,MonthlyIncome
159,train,No,Research & Development,Research Scientist,No,2613,30,10,3,0.4026,6,OverTime
160,train,No,Sales,Sales Executive,No,6146,33,7,2,0.3726,4,StockOptionLevel
161,test,Yes,Research & Development,Research Scientist,Yes,4963,56,5,2,0.5302,9,OverTime
162,train,No,Research & Development,Research Director,No,19537,51,20,3,0.3384,2,Age
163,train,Yes,Sales,Sales Executive,Yes,6172,31,7,3,0.5871,10,StockOptionLevel
164,train,No,Research & Development,Research Scientist,No,2368,26,5,2,0.512,8,MonthlyIncome
165,train,Yes,Research & Development,Healthcare Representative,No,10312,58,40,4,0.4586,7,DistanceFromHome
167,test,Yes,Sales,Sales Representative,Yes,1675,19,0,3,0.707,10,MonthlyIncome
169,train,No,Research & Development,Laboratory Technician,No,2523,22,2,4,0.4159,6,JobLevel
170,train,No,Research & Development,Manufacturing Director,No,6567,49,15,1,0.3684,4,Age
171,train,No,Research & Development,Research Scientist,No,4739,43,3,3,0.3837,5,Age
174,train,No,Sales,Sales Executive,No,9208,50,2,4,0.4189,6,Age
175,train,Yes,Sales,Sales Executive,Yes,4559,31,2,3,0.5363,9,OverTime
176,train,No,Sales,Sales Executive,Yes,8189,41,9,3,0.397,6,OverTime
177,train,No,Human Resources,Human Resources,No,2942,26,8,3,0.3904,5,OverTime
178,train,No,Research & Development,Manufacturing Director,No,4941,36,3,2,0.372,4,Age
179,train,Yes,Research & Development,Manufacturing Director,No,10650,51,4,4,0.5045,8,Age
182,test,No,Sales,Sales Executive,No,5902,39,15,3,0.305,1,StockOptionLevel
183,train,No,Sales,Sales Executive,No,8639,25,2,3,0.5391,9,StockOptionLevel
184,train,No,Human Resources,Human Resources,Yes,6347,30,11,4,0.434,7,StockOptionLevel
190,train,Yes,Research & Development,Laboratory Technician,No,4200,32,5,1,0.5713,9,Age
192,train,No,Research & Development,Research Scientist,No,3452,45,6,4,0.3841,5,Age
193,train,No,Research & Development,Research Scientist,Yes,4317,38,3,3,0.4285,7,OverTime
194,train,No,Research & Development,Research Scientist,No,2632,30,5,3,0.5024,8,Age
195,train,No,Sales,Sales Executive,No,4668,32,8,4,0.3287,1,StockOptionLevel
197,train,No,Research & Development,Research Scientist,No,3204,30,3,1,0.3795,5,OverTime
198,train,No,Research & Development,Laboratory Technician,No,2720,30,5,4,0.5113,8,Age
199,test,No,Research & Development,Manager,No,17181,41,7,1,0.3087,1,MonthlyIncome
200,train,No,Research & Development,Laboratory Technician,No,2238,41,5,1,0.3477,3,OverTime
201,train,No,Research & Development,Laboratory Technician,No,1483,19,1,2,0.6212,10,MonthlyIncome
202,train,No,Research & Development,Research Scientist,No,5605,40,20,2,0.3531,3,Age
204,train,No,Sales,Sales Executive,No,7295,35,10,2,0.3363,2,OverTime
205,test,No,Sales,Sales Representative,Yes,2306,53,7,3,0.4852,8,MonthlyIncome
206,train,No,Research & Development,Laboratory Technician,No,2348,45,17,2,0.4456,7,MonthlyIncome
207,test,No,Sales,Sales Executive,No,8998,32,9,4,0.4795,8,StockOptionLevel
208,train,No,Research & Development,Manufacturing Director,No,4319,29,10,3,0.3334,2,StockOptionLevel
211,train,No,Research & Development,Manufacturing Director,No,6132,51,1,3,0.3628,4,Age
214,train,No,Research & Development,Research Scientist,Yes,3346,58,1,2,0.4552,7,Age
215,train,No,Sales,Sales Executive,No,10855,40,12,4,0.3377,2,Age
216,test,No,Sales,Sales Representative,No,2231,34,4,3,0.3946,5,OverTime
217,train,No,Research & Development,Research Scientist,No,2323,22,2,4,0.4035,6,OverTime
218,train,No,Research & Development,Research Scientist,No,2024,27,2,2,0.507,8,MonthlyIncome
221,test,No,Research & Development,Research Scientist,No,2713,28,5,4,0.4216,6,OverTime
223,train,No,Research & Development,Healthcare Representative,Yes,9439,57,5,4,0.3495,3,MonthlyIncome
224,train,No,Research & Development,Research Scientist,Yes,2566,27,1,3,0.5589,9,OverTime
226,test,No,Research & Development,Manager,No,19926,50,5,2,0.3995,6,Age
227,train,No,Research & Development,Research Scientist,No,2451,41,9,3,0.3794,5,OverTime
228,test,No,Sales,Sales Executive,No,9419,30,10,4,0.3506,3,StockOptionLevel
230,train,No,Sales,Sales Executive,No,8686,38,8,4,0.4108,6,Age
231,train,No,Research & Development,Research Scientist,No,3038,32,5,3,0.5006,8,StockOptionLevel
233,train,No,Research & Development,Research Scientist,Yes,3058,27,5,2,0.5186,9,OverTime
235,train,Yes,Sales,Sales Representative,No,2325,19,0,1,0.6439,10,Age
238,train,No,Research & Development,Laboratory Technician,No,2088,36,8,2,0.4432,7,Age
239,train,No,Research & Development,Laboratory Technician,No,3072,30,12,1,0.345,2,StockOptionLevel
240,train,No,Sales,Sales Executive,Yes,5006,45,5,1,0.3802,5,StockOptionLevel
241,train,No,Research & Development,Research Scientist,Yes,4257,56,2,1,0.4062,6,MonthlyIncome
242,train,No,Research & Development,Research Scientist,No,2500,33,3,4,0.4708,8,OverTime
243,train,Yes,Research & Development,Laboratory Technician,No,1102,19,1,4,0.7104,10,MonthlyIncome
244,train,No,Sales,Sales Executive,No,10453,46,24,1,0.36,3,OverTime
245,test,No,Research & Development,Laboratory Technician,No,2288,38,2,4,0.4293,7,Age
246,train,No,Research & Development,Research Scientist,Yes,3929,31,4,4,0.4919,8,OverTime
247,test,No,Research & Development,Research Scientist,No,2311,34,3,2,0.4133,6,OverTime
248,test,Yes,Sales,Sales Representative,Yes,3140,41,4,2,0.5832,9,OverTime
249,train,No,Research & Development,Laboratory Technician,No,3690,50,3,3,0.366,4,OverTime
250,train,No,Research & Development,Manufacturing Director,No,4450,53,4,1,0.3435,2,StockOptionLevel
252,train,No,Research & Development,Research Scientist,No,2756,33,8,2,0.373,4,OverTime
253,train,No,Research & Development,Manager,No,19033,40,20,3,0.3026,1,MonthlyIncome
254,train,No,Research & Development,Research Director,No,18722,55,24,2,0.3639,4,Age
256,test,No,Research & Development,Manufacturing Director,No,9547,34,10,3,0.3723,4,Age
258,train,No,Research & Development,Healthcare Representative,No,13734,51,7,2,0.3359,2,Age
259,train,No,Research & Development,Manager,No,19999,52,33,3,0.3228,1,StockOptionLevel
260,train,No,Research & Development,Research Scientist,No,2279,27,7,2,0.5022,8,MonthlyIncome
261,test,Yes,Research & Development,Manufacturing Director,Yes,5916,35,1,3,0.4411,7,OverTime
262,train,No,Research & Development,Research Scientist,No,2089,43,5,4,0.3154,1,Age
264,train,No,Research & Development,Manager,No,16792,45,20,4,0.3955,5,NumCompaniesWorked
267,train,No,Research & Development,Research Scientist,Yes,3564,37,8,1,0.4945,8,OverTime
269,train,No,Research & Development,Laboratory Technician,No,4425,35,6,2,0.3689,4,Age
270,train,No,Research & Development,Manufacturing Director,No,5265,42,5,3,0.305,1,Age
271,train,No,Research & Development,Manufacturing Director,No,6553,38,1,3,0.3541,3,Age
273,train,No,Research & Development,Manufacturing Director,No,6261,38,7,4,0.3542,3,MonthlyIncome
274,train,No,Research & Development,Manufacturing Director,No,4298,27,2,1,0.4038,6,StockOptionLevel
275,train,No,Research & Development,Manufacturing Director,Yes,6804,49,7,4,0.3296,2,StockOptionLevel
277,test,No,Research & Development,Research Scientist,Yes,3815,34,5,3,0.5447,9,OverTime
281,train,No,Research & Development,Laboratory Technician,Yes,2741,40,7,4,0.3708,4,JobLevel
282,train,Yes,Research & Development,Healthcare Representative,Yes,6673,38,1,1,0.5841,10,OverTime
283,train,Yes,Sales,Sales Executive,No,7639,29,10,4,0.4551,7,DistanceFromHome
284,train,No,Research & Development,Research Scientist,Yes,2328,22,4,2,0.581,9,MonthlyIncome
286,train,No,Research & Development,Laboratory Technician,No,2153,36,8,4,0.3922,5,Age
287,train,No,Research & Development,Healthcare Representative,No,4876,40,3,4,0.3407,2,MonthlyIncome
288,train,No,Research & Development,Healthcare Representative,No,9396,46,4,1,0.3702,4,OverTime
291,train,Yes,Sales,Sales Executive,No,10400,32,14,4,0.4987,8,StockOptionLevel
292,train,No,Research & Development,Manufacturing Director,No,8474,30,11,3,0.4131,6,StockOptionLevel
293,train,No,Sales,Sales Executive,No,9981,27,7,3,0.4591,7,StockOptionLevel
296,train,No,Research & Development,Research Director,No,12490,51,10,2,0.3839,5,MonthlyIncome
297,test,Yes,Research & Development,Research Scientist,Yes,2657,30,5,1,0.6262,10,OverTime
298,train,No,Sales,Manager,Yes,13591,41,1,4,0.4528,7,Age
299,train,Yes,Sales,Sales Executive,No,6696,30,6,1,0.6003,10,Age
300,train,Yes,Research & Development,Research Scientist,No,2058,29,6,3,0.551,9,MonthlyIncome
302,test,No,Sales,Sales Executive,No,8865,45,19,4,0.4077,6,Age
303,train,No,Sales,Sales Executive,No,5940,54,6,1,0.3557,3,StockOptionLevel
304,train,No,Research & Development,Laboratory Technician,No,5914,36,13,2,0.3826,5,Age
305,test,No,Research & Development,Research Scientist,No,2622,33,3,2,0.5067,8,OverTime
306,train,No,Research & Development,Research Director,Yes,12185,37,10,4,0.349,3,MonthlyIncome
307,train,No,Sales,Sales Executive,No,10609,38,16,3,0.3334,2,OverTime
308,train,No,Research & Development,Manufacturing Director,No,4345,31,5,3,0.3112,1,StockOptionLevel
309,train,No,Research & Development,Research Scientist,No,2177,59,1,4,0.4017,6,Age
311,test,No,Sales,Sales Representative,No,2793,37,9,4,0.3645,4,Age
312,train,No,Sales,Sales Executive,No,7918,29,11,4,0.3525,3,StockOptionLevel
314,train,No,Sales,Sales Executive,No,8789,35,10,3,0.3831,5,Age
315,train,Yes,Research & Development,Research Scientist,Yes,2389,29,4,4,0.6741,10,MonthlyIncome
316,train,No,Research & Development,Laboratory Technician,No,3212,52,2,4,0.3978,6,Age
319,train,No,Research & Development,Manager,No,19232,42,22,4,0.3325,2,Age
321,test,No,Human Resources,Human Resources,No,2267,59,2,3,0.4884,8,MonthlyIncome
323,train,No,Sales,Manager,No,19517,50,7,4,0.3229,1,MonthlyIncome
325,train,Yes,Research & Development,Laboratory Technician,Yes,2436,33,5,4,0.6915,10,MonthlyIncome
327,test,No,Sales,Manager,Yes,16064,43,17,4,0.3596,3,OverTime
328,train,Yes,Research & Development,Laboratory Technician,No,2707,33,9,1,0.5392,9,OverTime
329,test,No,Sales,Manager,Yes,19068,52,33,3,0.5334,9,OverTime
330,train,No,Sales,Sales Representative,No,3931,32,4,2,0.3669,4,StockOptionLevel
331,train,Yes,Research & Development,Laboratory Technician,Yes,3730,32,3,3,0.6126,10,JobLevel
332,train,No,Research & Development,Laboratory Technician,No,2232,39,3,3,0.3592,3,OverTime
333,train,No,Sales,Sales Executive,No,4465,32,3,4,0.4586,7,StockOptionLevel
334,train,No,Research & Development,Research Scientist,No,3072,41,1,1,0.3964,6,YearsWithCurrManager
335,train,No,Research & Development,Research Scientist,No,3319,40,9,4,0.3428,2,StockOptionLevel
336,test,No,Research & Development,Manager,No,19202,45,24,4,0.3164,1,MonthlyIncome
337,train,No,Research & Development,Research Director,No,13675,31,2,3,0.4056,6,StockOptionLevel
338,train,No,Research & Development,Research Scientist,No,2911,33,2,4,0.3783,5,OverTime
339,train,No,Research & Development,Manufacturing Director,No,5957,34,11,1,0.3065,1,MonthlyIncome
340,train,No,Research & Development,Research Scientist,No,3920,37,3,1,0.3234,1,Age
341,train,No,Research & Development,Manufacturing Director,No,6434,45,3,3,0.3584,3,StockOptionLevel
342,train,Yes,Research & Development,Manufacturing Director,No,10048,37,1,3,0.4879,8,YearsWithCurrManager
343,train,No,Research & Development,Healthcare Representative,No,10938,39,19,3,0.3891,5,Age
346,train,No,Research & Development,Research Scientist,No,2340,29,6,4,0.4601,7,OverTime
347,train,No,Research & Development,Research Scientist,Yes,6545,42,3,1,0.4478,7,OverTime
349,train,No,Sales,Sales Executive,No,6931,29,3,4,0.4053,6,StockOptionLevel
350,train,No,Research & Development,Manufacturing Director,No,4898,25,4,3,0.3345,2,StockOptionLevel
351,test,No,Research & Development,Laboratory Technician,Yes,2593,42,9,1,0.467,8,OverTime
352,train,No,Research & Development,Research Director,No,19436,40,21,3,0.3239,1,StockOptionLevel
353,train,No,Research & Development,Research Scientist,No,2723,51,1,4,0.3793,5,Age
355,train,Yes,Research & Development,Laboratory Technician,No,3479,31,5,2,0.5682,9,Age
359,train,No,Research & Development,Laboratory Technician,No,2794,32,5,2,0.496,8,StockOptionLevel
361,test,No,Sales,Sales Executive,No,5249,38,8,4,0.3148,1,StockOptionLevel
362,test,No,Research & Development,Laboratory Technician,No,2176,32,6,1,0.4739,8,StockOptionLevel
363,train,No,Sales,Manager,Yes,16872,46,7,2,0.3858,5,MonthlyIncome
364,train,Yes,Research & Development,Laboratory Technician,No,3485,28,0,3,0.6257,10,Age
366,train,No,Sales,Sales Executive,No,6644,29,0,2,0.3644,4,StockOptionLevel
367,train,No,Research & Development,Healthcare Representative,No,5582,31,9,4,0.3634,4,StockOptionLevel
369,train,No,Research & Development,Healthcare Representative,No,4000,25,6,1,0.3055,1,StockOptionLevel
372,train,No,Research & Development,Healthcare Representative,Yes,13496,45,20,4,0.3883,5,OverTime
373,train,No,Research & Development,Laboratory Technician,No,3210,36,15,4,0.3108,1,Age
374,train,No,Research & Development,Manager,Yes,19045,55,36,1,0.4422,7,OverTime
376,train,Yes,Research & Development,Manager,Yes,11849,47,10,2,0.4852,8,OverTime
377,train,No,Research & Development,Research Scientist,No,2070,28,5,4,0.4188,6,MonthlyIncome
378,train,No,Sales,Sales Executive,No,6502,37,5,4,0.3089,1,StockOptionLevel
379,train,No,Research & Development,Research Scientist,No,3230,21,3,3,0.5119,8,Age
380,train,No,Research & Development,Research Director,Yes,13603,37,5,4,0.3212,1,MonthlyIncome
381,train,No,Research & Development,Manager,No,11996,35,7,2,0.388,5,OverTime
382,train,No,Sales,Sales Executive,Yes,5605,38,8,1,0.3951,5,StockOptionLevel
384,test,No,Research & Development,Manufacturing Director,No,6397,26,6,2,0.3449,2,StockOptionLevel
385,train,No,Research & Development,Research Director,No,19144,50,10,2,0.3413,2,MonthlyIncome
386,train,No,Research & Development,Research Director,Yes,17584,53,5,3,0.3772,4,MonthlyIncome
387,train,No,Sales,Sales Executive,No,4907,42,20,3,0.3674,4,Age
388,test,No,Sales,Sales Executive,No,4554,29,10,4,0.4811,8,StockOptionLevel
389,train,No,Research & Development,Laboratory Technician,Yes,5415,55,10,4,0.3749,4,MonthlyIncome
390,train,No,Research & Development,Healthcare Representative,Yes,4741,26,5,1,0.3956,6,StockOptionLevel
391,train,No,Research & Development,Research Scientist,No,2115,37,17,4,0.3895,5,Age
392,test,Yes,Research & Development,Laboratory Technician,Yes,3161,44,1,3,0.4954,8,Age
393,train,No,Research & Development,Healthcare Representative,No,5745,38,2,4,0.3031,1,Age
394,train,Yes,Research & Development,Laboratory Technician,Yes,2373,26,3,2,0.6486,10,OverTime
395,train,No,Research & Development,Research Scientist,No,3310,28,5,4,0.4867,8,Age
396,test,No,Research & Development,Research Director,Yes,18665,49,3,1,0.4478,7,Age
397,train,No,Research & Development,Research Scientist,No,4485,36,8,2,0.3509,3,Age
399,train,No,Sales,Sales Representative,No,2789,31,2,2,0.4595,7,JobLevel
401,train,Yes,Sales,Sales Executive,Yes,5828,26,8,4,0.5482,9,StockOptionLevel
403,train,No,Research & Development,Research Scientist,Yes,2326,37,4,4,0.5187,9,OverTime
404,train,No,Sales,Sales Executive,No,13525,42,20,2,0.3579,3,Age
405,train,Yes,Research & Development,Laboratory Technician,No,1420,18,0,3,0.6379,10,MonthlyIncome
406,train,No,Sales,Sales Executive,No,8020,35,11,2,0.3647,4,OverTime
407,test,No,Research & Development,Laboratory Technician,No,3688,36,1,4,0.3872,5,Age
408,train,No,Research & Development,Manufacturing Director,No,5482,51,4,2,0.3536,3,StockOptionLevel
410,train,No,Sales,Manager,No,16015,41,22,2,0.3684,4,Age
411,train,No,Sales,Sales Representative,No,1200,18,0,3,0.6454,10,MonthlyIncome
412,train,No,Research & Development,Healthcare Representative,No,5661,28,8,1,0.4825,8,StockOptionLevel
416,train,No,Sales,Sales Executive,No,6929,31,8,4,0.3462,3,StockOptionLevel
417,test,No,Research & Development,Healthcare Representative,No,9613,39,18,4,0.3332,2,Age
419,train,No,Research & Development,Laboratory Technician,No,5674,36,9,2,0.3449,2,OverTime
420,train,No,Sales,Sales Executive,No,5484,32,13,3,0.3025,1,StockOptionLevel
421,test,No,Research & Development,Research Director,No,12061,38,10,2,0.3667,4,OverTime
422,train,No,Research & Development,Healthcare Representative,Yes,5660,58,5,3,0.3573,3,MonthlyIncome
423,train,No,Research & Development,Research Scientist,Yes,4821,31,5,4,0.4324,7,MonthlyIncome
424,train,No,Human Resources,Human Resources,No,6410,31,2,1,0.4856,8,Age
425,train,No,Research & Development,Laboratory Technician,No,5210,45,24,1,0.3642,4,StockOptionLevel
426,train,No,Research & Development,Research Scientist,Yes,2695,31,2,4,0.5351,9,JobLevel
428,train,No,Research & Development,Manager,No,11878,33,10,2,0.3645,4,StockOptionLevel
429,train,No,Research & Development,Manager,Yes,17068,39,21,1,0.4277,7,OverTime
430,train,No,Research & Development,Laboratory Technician,No,2455,43,8,4,0.416,6,Age
